~0~,ua,UA-2708-EWR-CLT,Thu_ Dec 1 2:55 PM,Thu_ Dec 1 2:55 PM,A37,Thu_ Dec 1 4:53 PM,Thu_ Dec 1 4:44 PM,C5
2788,foxbusiness,AA-3468-CVG-MIA,7:00 AM_ Dec 02,7:26 AM_ Dec 02,Terminal 2,9:55 AM_ Dec 02,9:46 AM_ Dec 02,~Terminal D - D60~
2789,allegiantair,AA-3468-CVG-MIA,7:00 AM_ Dec 02,7:26 AM_ Dec 02,Terminal 2,9:55 AM_ Dec 02,9:46 AM_ Dec 02,~Terminal D - D60~
2837,flightview,AA-518-MIA-JFK,6:30 AM_ Dec 02,6:55 AM_ Dec 02,~Terminal D - D3~,9:15 AM_ Dec 02,9:26 AM_ Dec 02,~Terminal 8 - 5~
2838,panynj,AA-518-MIA-JFK,6:30 AM_ Dec 02,6:55 AM_ Dec 02,~Terminal D - D3~,9:15 AM_ Dec 02,9:26 AM_ Dec 02,~Terminal 8 - 5~
2840,foxbusiness,AA-518-MIA-JFK,6:30 AM_ Dec 02,6:55 AM_ Dec 02,~Terminal D - D3~,9:15 AM_ Dec 02,9:26 AM_ Dec 02,~Terminal 8 - 5~
2841,allegiantair,AA-518-MIA-JFK,6:30 AM_ Dec 02,6:55 AM_ Dec 02,~Terminal D - D3~,9:15 AM_ Dec 02,9:26 AM_ Dec 02,~Terminal 8 - 5~
2933,travelocity,UA-37-EDI-EWR,Dec 02 - 9:05am,Dec 02 - Contact Airline,~Not provided by airline~,Dec 02 - 11:53am,Dec 02 - Contact Airline,~Not provided by airline~
2957,travelocity,UA-3050-PHX-CLT,Dec 02 - 11:05am,Dec 02 - Contact Airline,~Not provided by airline~,Dec 02 - 4:57pm,Dec 02 - Contact Airline,~Not provided by airline~
2962,mytripandmore,UA-3050-PHX-CLT,Dec 02 - 11:05am,Dec 02 - Contact Airline,~Not provided by airline~,Dec 02 - 4:57pm,Dec 02 - Contact Airline,~Not provided by airline~
2982,travelocity,UA-3099-PHX-PHL,Dec 02 - 11:55am,Dec 02 - Contact Airline,~Not provided by airline~,Dec 02 - 6:17pm,Dec 02 - Contact Airline,~Not provided by airline~
3050,travelocity,UA-2945-PHL-CLT,Dec 02 - 12:00noon,Dec 02 - Contact Airline,~Not provided by airline~,Dec 02 - 1:45pm,Dec 02 - Contact Airline,~Not provided by airline~
3136,flightview,AA-466-IAH-MIA,6:00 AM_ Dec 02,6:15 AM_ Dec 02,A27,9:20 AM_ Dec 02,9:22 AM_ Dec 02,~Terminal D - D51~
3137,panynj,AA-466-IAH-MIA,6:00 AM_ Dec 02,6:15 AM_ Dec 02,A27,9:20 AM_ Dec 02,9:22 AM_ Dec 02,~Terminal D - D51~
3139,foxbusiness,AA-466-IAH-MIA,6:00 AM_ Dec 02,6:15 AM_ Dec 02,A27,9:20 AM_ Dec 02,9:22 AM_ Dec 02,~Terminal D - D51~
3140,allegiantair,AA-466-IAH-MIA,6:00 AM_ Dec 02,6:15 AM_ Dec 02,A27,9:20 AM_ Dec 02,9:22 AM_ Dec 02,~Terminal D - D51~
3167,travelocity,UA-2906-PHL-MCO,Dec 02 - 3:50pm,Dec 02 - Contact Airline,~Not provided by airline~,Dec 02 - 6:23pm,Dec 02 - Contact Airline,~Not provided by airline~
3189,travelocity,UA-2830-MCO-CLT,Dec 02 - 3:27pm,Dec 02 - Contact Airline,~Not provided by airline~,Dec 02 - 5:05pm,Dec 02 - Contact Airline,~Not provided by airline~
3193,mytripandmore,UA-2830-MCO-CLT,Dec 02 - 3:27pm,Dec 02 - Contact Airline,~Not provided by airline~,Dec 02 - 5:05pm,Dec 02 - Contact Airline,~Not provided by airline~
3210,travelocity,UA-2515-DFW-CLT,Dec 02 - 7:05am,Dec 02 - Contact Airline,~Not provided by airline~,Dec 02 - 10:31am,Dec 02 - Contact Airline,~Not provided by airline~
3257,travelocity,UA-62-IAH-EWR,Dec 02 - 2:30pm,Dec 02 - Contact Airline,~Not provided by airline~,Dec 02 - 7:03pm,Dec 02 - Contact Airline,~Not provided by airline~
3260,mytripandmore,UA-62-IAH-EWR,Dec 02 - 2:30pm,Dec 02 - Contact Airline,~Not provided by airline~,Dec 02 - 7:03pm,Dec 02 - Contact Airline,~Not provided by airline~
3367,flightview,AA-2050-ORD-MIA,10:40 AM_ Dec 02,10:54 AM_ Dec 02,H15,2:45 PM_ Dec 02,2:26 PM_ Dec 02,~Terminal D - D1~
3368,panynj,AA-2050-ORD-MIA,10:40 AM_ Dec 02,10:54 AM_ Dec 02,H15,2:45 PM_ Dec 02,2:26 PM_ Dec 02,~Terminal D - D1~
3370,foxbusiness,AA-2050-ORD-MIA,10:40 AM_ Dec 02,10:54 AM_ Dec 02,H15,2:45 PM_ Dec 02,2:26 PM_ Dec 02,~Terminal D - D1~
3371,allegiantair,AA-2050-ORD-MIA,10:40 AM_ Dec 02,10:54 AM_ Dec 02,H15,2:45 PM_ Dec 02,2:26 PM_ Dec 02,~Terminal D - D1~
3414,flightview,AA-59-JFK-SFO,7:10 AM_ Dec 02,7:48 AM_ Dec 02,~Terminal 8 - 39~,10:45 AM_ Dec 02,10:33 AM_ Dec 02,~Terminal 2 - 58B~
3415,panynj,AA-59-JFK-SFO,7:10 AM_ Dec 02,7:48 AM_ Dec 02,~Terminal 8 - 39~,10:45 AM_ Dec 02,10:33 AM_ Dec 02,~Terminal 2 - 58B~
3417,foxbusiness,AA-59-JFK-SFO,7:10 AM_ Dec 02,7:48 AM_ Dec 02,~Terminal 8 - 39~,10:45 AM_ Dec 02,10:33 AM_ Dec 02,~Terminal 2 - 58B~
3418,allegiantair,AA-59-JFK-SFO,7:10 AM_ Dec 02,7:48 AM_ Dec 02,~Terminal 8 - 39~,10:45 AM_ Dec 02,10:33 AM_ Dec 02,~Terminal 2 - 58B~
3611,flightview,UA-397-JFK-SFO,8:00 AM_ Dec 02,8:15 AM_ Dec 02,12,11:55 AM_ Dec 02,10:55 AM_ Dec 02,~Terminal 3 - 84~
3612,panynj,UA-397-JFK-SFO,8:00 AM_ Dec 02,8:15 AM_ Dec 02,12,11:55 AM_ Dec 02,10:55 AM_ Dec 02,~Terminal 3 - 84~
3614,foxbusiness,UA-397-JFK-SFO,8:00 AM_ Dec 02,8:15 AM_ Dec 02,12,11:55 AM_ Dec 02,10:55 AM_ Dec 02,~Terminal 3 - 84~
3615,allegiantair,UA-397-JFK-SFO,8:00 AM_ Dec 02,8:15 AM_ Dec 02,12,11:55 AM_ Dec 02,10:55 AM_ Dec 02,~Terminal 3 - 84~
3685,flightview,AA-1221-MCO-ORD,8:00 PM_ Dec 02,8:08 PM_ Dec 02,~Terminal A - 15~,9:50 PM_ Dec 02,9:38 PM_ Dec 02,Terminal 3
3686,panynj,AA-1221-MCO-ORD,8:00 PM_ Dec 02,8:08 PM_ Dec 02,~Terminal A - 15~,9:50 PM_ Dec 02,9:38 PM_ Dec 02,Terminal 3
3688,foxbusiness,AA-1221-MCO-ORD,8:00 PM_ Dec 02,8:08 PM_ Dec 02,~Terminal A - 15~,9:50 PM_ Dec 02,9:38 PM_ Dec 02,Terminal 3
3689,allegiantair,AA-1221-MCO-ORD,8:00 PM_ Dec 02,8:08 PM_ Dec 02,~Terminal A - 15~,9:50 PM_ Dec 02,9:38 PM_ Dec 02,Terminal 3
3712,flightview,AA-271-MIA-LAX,11:35 AM_ Dec 02,11:52 AM_ Dec 02,D51,2:25 PM_ Dec 02,2:08 PM_ Dec 02,~Terminal T4 - 49A~
3713,panynj,AA-271-MIA-LAX,11:35 AM_ Dec 02,11:52 AM_ Dec 02,D51,2:25 PM_ Dec 02,2:08 PM_ Dec 02,~Terminal T4 - 49A~
3715,foxbusiness,AA-271-MIA-LAX,11:35 AM_ Dec 02,11:52 AM_ Dec 02,D51,2:25 PM_ Dec 02,2:08 PM_ Dec 02,~Terminal T4 - 49A~
3716,allegiantair,AA-271-MIA-LAX,11:35 AM_ Dec 02,11:52 AM_ Dec 02,D51,2:25 PM_ Dec 02,2:08 PM_ Dec 02,~Terminal T4 - 49A~
3801,flightview,AA-2525-DFW-MIA,7:25 AM_ Dec 02,7:48 AM_ Dec 02,D25,11:10 AM_ Dec 02,11:13 AM_ Dec 02,~Terminal D - D21~
3802,panynj,AA-2525-DFW-MIA,7:25 AM_ Dec 02,7:48 AM_ Dec 02,D25,11:10 AM_ Dec 02,11:13 AM_ Dec 02,~Terminal D - D21~
3804,foxbusiness,AA-2525-DFW-MIA,7:25 AM_ Dec 02,7:48 AM_ Dec 02,D25,11:10 AM_ Dec 02,11:13 AM_ Dec 02,~Terminal D - D21~
3805,allegiantair,AA-2525-DFW-MIA,7:25 AM_ Dec 02,7:48 AM_ Dec 02,D25,11:10 AM_ Dec 02,11:13 AM_ Dec 02,~Terminal D - D21~
3828,flightview,AA-1664-MIA-ATL,10:15 AM_ Dec 02,10:39 AM_ Dec 02,~Terminal D - D36~,12:10 PM_ Dec 02,12:15 PM_ Dec 02,T11
3829,panynj,AA-1664-MIA-ATL,10:15 AM_ Dec 02,10:39 AM_ Dec 02,~Terminal D - D36~,12:10 PM_ Dec 02,12:15 PM_ Dec 02,T11
3831,foxbusiness,AA-1664-MIA-ATL,10:15 AM_ Dec 02,10:39 AM_ Dec 02,~Terminal D - D36~,12:10 PM_ Dec 02,12:15 PM_ Dec 02,T11
3832,allegiantair,AA-1664-MIA-ATL,10:15 AM_ Dec 02,10:39 AM_ Dec 02,~Terminal D - D36~,12:10 PM_ Dec 02,12:15 PM_ Dec 02,T11
3873,flightview,AA-484-DFW-MIA,4:15 PM_ Dec 02,4:59 PM_ Dec 02,D23,7:55 PM_ Dec 02,8:19 PM_ Dec 02,~Terminal D - D8~
3874,panynj,AA-484-DFW-MIA,4:15 PM_ Dec 02,4:59 PM_ Dec 02,D23,7:55 PM_ Dec 02,8:19 PM_ Dec 02,~Terminal D - D8~
3876,foxbusiness,AA-484-DFW-MIA,4:15 PM_ Dec 02,4:59 PM_ Dec 02,D23,7:55 PM_ Dec 02,8:19 PM_ Dec 02,~Terminal D - D8~
3877,allegiantair,AA-484-DFW-MIA,4:15 PM_ Dec 02,4:59 PM_ Dec 02,D23,7:55 PM_ Dec 02,8:19 PM_ Dec 02,~Terminal D - D8~
3906,travelocity,CO-1694-LAX-IAH,Dec 02 - 7:15pm,Dec 02 - Not Available,64,Dec 03 - 12:21am,Dec 03 - Not Available,~Not provided by airline~
3946,flightview,UA-2726-FLL-PHL,4:00 PM_ Dec 02,4:11 PM_ Dec 02,~Terminal 3 - E3~,6:46 PM_ Dec 02,6:46 PM_ Dec 02,B6
3947,panynj,UA-2726-FLL-PHL,4:00 PM_ Dec 02,4:11 PM_ Dec 02,~Terminal 3 - E3~,6:46 PM_ Dec 02,6:46 PM_ Dec 02,B6
3949,foxbusiness,UA-2726-FLL-PHL,4:00 PM_ Dec 02,4:11 PM_ Dec 02,~Terminal 3 - E3~,6:46 PM_ Dec 02,6:46 PM_ Dec 02,B6
3950,allegiantair,UA-2726-FLL-PHL,4:00 PM_ Dec 02,4:11 PM_ Dec 02,~Terminal 3 - E3~,6:46 PM_ Dec 02,6:46 PM_ Dec 02,B6
3952,travelocity,UA-2726-FLL-PHL,Dec 02 - 4:00pm,Dec 02 - Contact Airline,~Not provided by airline~,Dec 02 - 6:46pm,Dec 02 - Contact Airline,~Not provided by airline~
3956,mytripandmore,UA-2726-FLL-PHL,Dec 02 - 4:00pm,Dec 02 - Contact Airline,~Not provided by airline~,Dec 02 - 6:46pm,Dec 02 - Contact Airline,~Not provided by airline~
3972,flightview,AA-3809-PHX-LAX,6:00 AM_ Dec 02,6:07 AM_ Dec 02,~Terminal 3 - 2~,6:40 AM_ Dec 02,6:16 AM_ Dec 02,~Terminal T4 - 44I~
3973,panynj,AA-3809-PHX-LAX,6:00 AM_ Dec 02,6:07 AM_ Dec 02,~Terminal 3 - 2~,6:40 AM_ Dec 02,6:16 AM_ Dec 02,~Terminal T4 - 44I~
3975,foxbusiness,AA-3809-PHX-LAX,6:00 AM_ Dec 02,6:07 AM_ Dec 02,~Terminal 3 - 2~,6:40 AM_ Dec 02,6:16 AM_ Dec 02,~Terminal T4 - 44I~
3976,allegiantair,AA-3809-PHX-LAX,6:00 AM_ Dec 02,6:07 AM_ Dec 02,~Terminal 3 - 2~,6:40 AM_ Dec 02,6:16 AM_ Dec 02,~Terminal T4 - 44I~
4042,flightview,AA-1165-JFK-MIA,6:59 AM_ Dec 02,7:38 AM_ Dec 02,~Terminal 8 - 40~,10:34 AM_ Dec 02,10:15 AM_ Dec 02,~Terminal D - D11~
4043,panynj,AA-1165-JFK-MIA,6:59 AM_ Dec 02,7:38 AM_ Dec 02,~Terminal 8 - 40~,10:34 AM_ Dec 02,10:15 AM_ Dec 02,~Terminal D - D11~
4045,foxbusiness,AA-1165-JFK-MIA,6:59 AM_ Dec 02,7:38 AM_ Dec 02,~Terminal 8 - 40~,10:34 AM_ Dec 02,10:15 AM_ Dec 02,~Terminal D - D11~
4046,allegiantair,AA-1165-JFK-MIA,6:59 AM_ Dec 02,7:38 AM_ Dec 02,~Terminal 8 - 40~,10:34 AM_ Dec 02,10:15 AM_ Dec 02,~Terminal D - D11~
4162,flightview,AA-400-DFW-JFK,10:40 AM_ Dec 02,11:02 AM_ Dec 02,D16,2:59 PM_ Dec 02,3:00 PM_ Dec 02,~Terminal 8 - 44~
4163,panynj,AA-400-DFW-JFK,10:40 AM_ Dec 02,11:02 AM_ Dec 02,D16,2:59 PM_ Dec 02,3:00 PM_ Dec 02,~Terminal 8 - 44~
4165,foxbusiness,AA-400-DFW-JFK,10:40 AM_ Dec 02,11:02 AM_ Dec 02,D16,2:59 PM_ Dec 02,3:00 PM_ Dec 02,~Terminal 8 - 44~
4166,allegiantair,AA-400-DFW-JFK,10:40 AM_ Dec 02,11:02 AM_ Dec 02,D16,2:59 PM_ Dec 02,3:00 PM_ Dec 02,~Terminal 8 - 44~
4187,flightview,AA-643-MIA-ORD,7:10 AM_ Dec 02,7:26 AM_ Dec 02,~Terminal D - D11~,9:35 AM_ Dec 02,9:16 AM_ Dec 02,K13
4188,panynj,AA-643-MIA-ORD,7:10 AM_ Dec 02,7:26 AM_ Dec 02,~Terminal D - D11~,9:35 AM_ Dec 02,9:16 AM_ Dec 02,K13
4190,foxbusiness,AA-643-MIA-ORD,7:10 AM_ Dec 02,7:26 AM_ Dec 02,~Terminal D - D11~,9:35 AM_ Dec 02,9:16 AM_ Dec 02,K13
4191,allegiantair,AA-643-MIA-ORD,7:10 AM_ Dec 02,7:26 AM_ Dec 02,~Terminal D - D11~,9:35 AM_ Dec 02,9:16 AM_ Dec 02,K13
4261,flightview,UA-257-JFK-SFO,2:30 PM_ Dec 02,2:42 PM_ Dec 02,9,6:15 PM_ Dec 02,5:46 PM_ Dec 02,~Terminal I - G92~
4262,panynj,UA-257-JFK-SFO,2:30 PM_ Dec 02,2:42 PM_ Dec 02,9,6:15 PM_ Dec 02,5:46 PM_ Dec 02,~Terminal I - G92~
4264,foxbusiness,UA-257-JFK-SFO,2:30 PM_ Dec 02,2:42 PM_ Dec 02,9,6:15 PM_ Dec 02,5:46 PM_ Dec 02,~Terminal I - G92~
4265,allegiantair,UA-257-JFK-SFO,2:30 PM_ Dec 02,2:42 PM_ Dec 02,9,6:15 PM_ Dec 02,5:46 PM_ Dec 02,~Terminal I - G92~
4442,flightview,AA-404-MIA-MCO,6:45 AM_ Dec 02,6:53 AM_ Dec 02,~Terminal E - E5~,7:45 AM_ Dec 02,7:28 AM_ Dec 02,16
4443,panynj,AA-404-MIA-MCO,6:45 AM_ Dec 02,6:53 AM_ Dec 02,~Terminal E - E5~,7:45 AM_ Dec 02,7:28 AM_ Dec 02,16
4445,foxbusiness,AA-404-MIA-MCO,6:45 AM_ Dec 02,6:53 AM_ Dec 02,~Terminal E - E5~,7:45 AM_ Dec 02,7:28 AM_ Dec 02,16
4446,allegiantair,AA-404-MIA-MCO,6:45 AM_ Dec 02,6:53 AM_ Dec 02,~Terminal E - E5~,7:45 AM_ Dec 02,7:28 AM_ Dec 02,16
4466,flightview,CO-1193-EWR-MCO,9:15 AM_ Dec 02,9:40 AM_ Dec 02,~Term C - C74~,12:18 PM_ Dec 02,12:22 PM_ Dec 02,Term B - 39
4467,panynj,CO-1193-EWR-MCO,9:15 AM_ Dec 02,9:40 AM_ Dec 02,~Term C - C74~,12:18 PM_ Dec 02,12:22 PM_ Dec 02,Term B - 39
4469,foxbusiness,CO-1193-EWR-MCO,9:15 AM_ Dec 02,9:40 AM_ Dec 02,~Term C - C74~,12:18 PM_ Dec 02,12:22 PM_ Dec 02,Term B - 39
4470,allegiantair,CO-1193-EWR-MCO,9:15 AM_ Dec 02,9:40 AM_ Dec 02,~Term C - C74~,12:18 PM_ Dec 02,12:22 PM_ Dec 02,Term B - 39
4513,travelocity,UA-2314-ATL-PHL,Dec 02 - 2:55pm,Dec 02 - Contact Airline,~Not provided by airline~,Dec 02 - 5:00pm,Dec 02 - Contact Airline,~Not provided by airline~
4601,aa,~AA-3-JFK-LAX~,12/02/2011 12:00 PM,12/02/2011 12:14 PM,12,12/02/2011 03:15 PM,12/02/2011 03:08 PM,47B
4602,flightexplorer,~AA-3-JFK-LAX~,,12/2/2011 12:16PM EST,,,12/2/2011 3:07PM PST,
4603,airtravelcenter,~AA-3-JFK-LAX~,,12/2/11 12:16 PM (-05:00),,,12/2/11 3:07 PM (-08:00),
4604,myrateplan,~AA-3-JFK-LAX~,,12/2/11 12:16 PM (-05:00),,,12/2/11 3:07 PM (-08:00),
4605,helloflight,~AA-3-JFK-LAX~,,12/2/11 12:16 PM (-05:00),,,12/2/11 3:07 PM (-08:00),
4606,flytecomm,~AA-3-JFK-LAX~,,12/2/11 12:16 PM (-05:00),,,12/2/11 3:07 PM (-08:00),
4607,flightaware,~AA-3-JFK-LAX~,2011-12-02 12:00PM EST,2011-12-02 12:14PM EST,12,2011-12-02 02:45PM PST,2011-12-02 02:58PM PST,47B
4608,wunderground,~AA-3-JFK-LAX~,2011-12-02 12:00PM EST,2011-12-02 12:14PM EST,12,2011-12-02 02:45PM PST,2011-12-02 02:58PM PST,47B
4609,flights,~AA-3-JFK-LAX~,12:00 PM  Fri 02-Dec-2011,12:14 PM  Fri 02-Dec-2011,B12,03:15 PM  Fri 02-Dec-2011,03:08 PM  Fri 02-Dec-2011,47B
4610,businesstravellogue,~AA-3-JFK-LAX~,12:00 PM  Fri 02-Dec-2011,12:14 PM  Fri 02-Dec-2011,B12,03:15 PM  Fri 02-Dec-2011,03:08 PM  Fri 02-Dec-2011,47B
4611,flylouisville,~AA-3-JFK-LAX~,12:00 PM  Fri 02-Dec-2011,12:14 PM  Fri 02-Dec-2011,B12,03:15 PM  Fri 02-Dec-2011,03:08 PM  Fri 02-Dec-2011,47B
4612,flightstats,~AA-3-JFK-LAX~,2011-12-02 12:00 PM,2011-12-02 12:14 PM,,2011-12-02 3:15 PM,2011-12-02 3:08 PM,
4613,quicktrip,~AA-3-JFK-LAX~,2011-12-02 12:00 PM,2011-12-02 12:14 PM,,2011-12-02 3:15 PM,2011-12-02 3:08 PM,
4614,world-flight-tracker,~AA-3-JFK-LAX~,2011-12-02 12:00 PM,2011-12-02 12:14 PM,,2011-12-02 3:15 PM,2011-12-02 3:08 PM,
4615,flightview,~AA-3-JFK-LAX~,12:00 PM_ Dec 02,12:16 PM_ Dec 02,~Terminal 8 - 12~,3:15 PM_ Dec 02,3:08 PM_ Dec 02,~Terminal T4 - 47B~
4616,panynj,~AA-3-JFK-LAX~,12:00 PM_ Dec 02,12:16 PM_ Dec 02,~Terminal 8 - 12~,3:15 PM_ Dec 02,3:08 PM_ Dec 02,~Terminal T4 - 47B~
4617,gofox,~AA-3-JFK-LAX~,12:00 PM_ Dec 02,12:16 PM_ Dec 02,,3:15 PM_ Dec 02,3:08 PM_ Dec 02,
4618,foxbusiness,~AA-3-JFK-LAX~,12:00 PM_ Dec 02,12:16 PM_ Dec 02,~Terminal 8 - 12~,3:15 PM_ Dec 02,3:08 PM_ Dec 02,~Terminal T4 - 47B~
4619,allegiantair,~AA-3-JFK-LAX~,12:00 PM_ Dec 02,12:16 PM_ Dec 02,~Terminal 8 - 12~,3:15 PM_ Dec 02,3:08 PM_ Dec 02,~Terminal T4 - 47B~
4620,boston,~AA-3-JFK-LAX~,12:00 PM_ Dec 02,12:16 PM_ Dec 02,,3:15 PM_ Dec 02,3:04 PM_ Dec 02,
4621,travelocity,~AA-3-JFK-LAX~,Dec 02 - 12:00noon,Dec 02 - 11:53am,12/8,Dec 02 - 3:15pm,Dec 02 - 3:08pm,47B/T4
4622,orbitz,~AA-3-JFK-LAX~,12:00pDec 2,11:53aDec 2,12,3:15pDec 2,3:08pDec 2,47B
4623,weather,~AA-3-JFK-LAX~,2011-12-02 12:00 PM,2011-12-02 12:16 PM,,2011-12-02 03:15 PM,2011-12-02 03:08 PM,
4638,flightview,AA-431-MIA-SFO,8:35 AM_ Dec 02,8:52 AM_ Dec 02,D40,11:50 AM_ Dec 02,11:41 AM_ Dec 02,~Terminal 2 - 56A~
4639,panynj,AA-431-MIA-SFO,8:35 AM_ Dec 02,8:52 AM_ Dec 02,D40,11:50 AM_ Dec 02,11:41 AM_ Dec 02,~Terminal 2 - 56A~
4641,foxbusiness,AA-431-MIA-SFO,8:35 AM_ Dec 02,8:52 AM_ Dec 02,D40,11:50 AM_ Dec 02,11:41 AM_ Dec 02,~Terminal 2 - 56A~
4642,allegiantair,AA-431-MIA-SFO,8:35 AM_ Dec 02,8:52 AM_ Dec 02,D40,11:50 AM_ Dec 02,11:41 AM_ Dec 02,~Terminal 2 - 56A~
4687,flightview,AA-85-JFK-SFO,3:05 PM_ Dec 02,3:42 PM_ Dec 02,~Terminal 8 - 5~,6:30 PM_ Dec 02,7:00 PM_ Dec 02,~Terminal 2 - 58B~
4688,panynj,AA-85-JFK-SFO,3:05 PM_ Dec 02,3:42 PM_ Dec 02,~Terminal 8 - 5~,6:30 PM_ Dec 02,7:00 PM_ Dec 02,~Terminal 2 - 58B~
4690,foxbusiness,AA-85-JFK-SFO,3:05 PM_ Dec 02,3:42 PM_ Dec 02,~Terminal 8 - 5~,6:30 PM_ Dec 02,7:00 PM_ Dec 02,~Terminal 2 - 58B~
4691,allegiantair,AA-85-JFK-SFO,3:05 PM_ Dec 02,3:42 PM_ Dec 02,~Terminal 8 - 5~,6:30 PM_ Dec 02,7:00 PM_ Dec 02,~Terminal 2 - 58B~
4796,flightview,AA-4277-CVG-JFK,12:10 PM_ Dec 02,12:22 PM_ Dec 02,Terminal 2,2:15 PM_ Dec 02,1:52 PM_ Dec 02,~Terminal 8 - 31A~
4797,panynj,AA-4277-CVG-JFK,12:10 PM_ Dec 02,12:22 PM_ Dec 02,Terminal 2,2:15 PM_ Dec 02,1:52 PM_ Dec 02,~Terminal 8 - 31A~
4799,foxbusiness,AA-4277-CVG-JFK,12:10 PM_ Dec 02,12:22 PM_ Dec 02,Terminal 2,2:15 PM_ Dec 02,1:52 PM_ Dec 02,~Terminal 8 - 31A~
4800,allegiantair,AA-4277-CVG-JFK,12:10 PM_ Dec 02,12:22 PM_ Dec 02,Terminal 2,2:15 PM_ Dec 02,1:52 PM_ Dec 02,~Terminal 8 - 31A~
4871,flightview,AA-1917-JFK-MCO,2:55 PM_ Dec 02,3:39 PM_ Dec 02,~Terminal 8 - 1~,5:55 PM_ Dec 02,5:56 PM_ Dec 02,16
4872,panynj,AA-1917-JFK-MCO,2:55 PM_ Dec 02,3:39 PM_ Dec 02,~Terminal 8 - 1~,5:55 PM_ Dec 02,5:56 PM_ Dec 02,16
4874,foxbusiness,AA-1917-JFK-MCO,2:55 PM_ Dec 02,3:39 PM_ Dec 02,~Terminal 8 - 1~,5:55 PM_ Dec 02,5:56 PM_ Dec 02,16
4875,allegiantair,AA-1917-JFK-MCO,2:55 PM_ Dec 02,3:39 PM_ Dec 02,~Terminal 8 - 1~,5:55 PM_ Dec 02,5:56 PM_ Dec 02,16
4899,travelocity,UA-2704-DTW-PHX,Dec 02 - 11:15am,Dec 02 - Contact Airline,~Not provided by airline~,Dec 02 - 1:40pm,Dec 02 - Contact Airline,~Not provided by airline~
5140,travelocity,UA-2708-EWR-CLT,Dec 03 - 2:55pm,Dec 03 - Contact Airline,~Not provided by airline~,Dec 03 - 4:53pm,Dec 03 - Contact Airline,~Not provided by airline~
5183,flightview,AA-649-ORD-SNA,1:30 PM_ Dec 03,,H11B,3:50 PM_ Dec 03,,~Terminal A - 7~
5184,panynj,AA-649-ORD-SNA,1:30 PM_ Dec 03,,H11B,3:50 PM_ Dec 03,,~Terminal A - 7~
5186,foxbusiness,AA-649-ORD-SNA,1:30 PM_ Dec 03,,H11B,3:50 PM_ Dec 03,,~Terminal A - 7~
5187,allegiantair,AA-649-ORD-SNA,1:30 PM_ Dec 03,,H11B,3:50 PM_ Dec 03,,~Terminal A - 7~
5310,flightview,AA-222-LAX-BOS,7:10 AM_ Dec 03,7:22 AM_ Dec 03,~Terminal T4 - 42B~,3:30 PM_ Dec 03,3:13 PM_ Dec 03,~Terminal B - B35~
5311,panynj,AA-222-LAX-BOS,7:10 AM_ Dec 03,7:22 AM_ Dec 03,~Terminal T4 - 42B~,3:30 PM_ Dec 03,3:13 PM_ Dec 03,~Terminal B - B35~
5313,foxbusiness,AA-222-LAX-BOS,7:10 AM_ Dec 03,7:22 AM_ Dec 03,~Terminal T4 - 42B~,3:30 PM_ Dec 03,3:13 PM_ Dec 03,~Terminal B - B35~
5314,allegiantair,AA-222-LAX-BOS,7:10 AM_ Dec 03,7:22 AM_ Dec 03,~Terminal T4 - 42B~,3:30 PM_ Dec 03,3:13 PM_ Dec 03,~Terminal B - B35~
5333,flightview,AA-3468-CVG-MIA,7:00 AM_ Dec 03,7:17 AM_ Dec 03,Terminal 2,9:55 AM_ Dec 03,9:40 AM_ Dec 03,~Terminal D - D60~
5334,panynj,AA-3468-CVG-MIA,7:00 AM_ Dec 03,7:17 AM_ Dec 03,Terminal 2,9:55 AM_ Dec 03,9:40 AM_ Dec 03,~Terminal D - D60~
5336,foxbusiness,AA-3468-CVG-MIA,7:00 AM_ Dec 03,7:17 AM_ Dec 03,Terminal 2,9:55 AM_ Dec 03,9:40 AM_ Dec 03,~Terminal D - D60~
5337,allegiantair,AA-3468-CVG-MIA,7:00 AM_ Dec 03,7:17 AM_ Dec 03,Terminal 2,9:55 AM_ Dec 03,9:40 AM_ Dec 03,~Terminal D - D60~
5385,flightview,AA-518-MIA-JFK,6:30 AM_ Dec 03,6:43 AM_ Dec 03,~Terminal D - D16~,9:15 AM_ Dec 03,9:11 AM_ Dec 03,~Terminal 8 - 12~
5386,panynj,AA-518-MIA-JFK,6:30 AM_ Dec 03,6:43 AM_ Dec 03,~Terminal D - D16~,9:15 AM_ Dec 03,9:11 AM_ Dec 03,~Terminal 8 - 12~
5388,foxbusiness,AA-518-MIA-JFK,6:30 AM_ Dec 03,6:43 AM_ Dec 03,~Terminal D - D16~,9:15 AM_ Dec 03,9:11 AM_ Dec 03,~Terminal 8 - 12~
5389,allegiantair,AA-518-MIA-JFK,6:30 AM_ Dec 03,6:43 AM_ Dec 03,~Terminal D - D16~,9:15 AM_ Dec 03,9:11 AM_ Dec 03,~Terminal 8 - 12~
5432,travelocity,UA-1500-IAH-GUA,Dec 03 - 8:55am,Dec 03 - Contact Airline,~Not provided by airline~,Dec 03 - 11:45am,Dec 03 - Contact Airline,~Not provided by airline~
5477,travelocity,UA-37-EDI-EWR,Dec 03 - 9:05am,Dec 03 - Contact Airline,~Not provided by airline~,Dec 03 - 11:53am,Dec 03 - Contact Airline,~Not provided by airline~
