~~0~~,ua,UA-2708-EWR-CLT,Thu_ Dec 1 2:55 PM,Thu_ Dec 1 2:55 PM,A37,Thu_ Dec 1 4:53 PM,Thu_ Dec 1 4:44 PM,C5
~~2396~~,world-flight-tracker,AA-1733-ORD-PHX,2011-12-01 7:45 PM,2011-12-01 7:58 PM,,2011-12-01 10:30 PM,2011-12-01 10:30 PM (Estimated),
~~2397~~,flightview,AA-1733-ORD-PHX,7:45 PM_ Dec 01,7:59 PM_ Dec 01,,10:30 PM_ Dec 01,~~,
~~2398~~,flightview,AA-1733-ORD-PHX,7:45 PM_ Dec 01,7:59 PM_ Dec 01,,10:30 PM_ Dec 01,~~,
~~2399~~,flightview,AA-1733-ORD-PHX,7:45 PM_ Dec 01,7:59 PM_ Dec 01,,10:30 PM_ Dec 01,~~,
~~2400~~,flightview,AA-1733-ORD-PHX,7:45 PM_ Dec 01,7:59 PM_ Dec 01,,10:30 PM_ Dec 01,~~,
~~2401~~,panynj,AA-1733-ORD-PHX,7:45 PM_ Dec 01,7:59 PM_ Dec 01,,10:30 PM_ Dec 01,~~,
~~2402~~,panynj,AA-1733-ORD-PHX,7:45 PM_ Dec 01,7:59 PM_ Dec 01,,10:30 PM_ Dec 01,~~,
~~2403~~,panynj,AA-1733-ORD-PHX,7:45 PM_ Dec 01,7:59 PM_ Dec 01,,10:30 PM_ Dec 01,~~,
~~2404~~,panynj,AA-1733-ORD-PHX,7:45 PM_ Dec 01,7:59 PM_ Dec 01,,10:30 PM_ Dec 01,~~,
~~2405~~,gofox,AA-1733-ORD-PHX,7:45 PM_ Dec 01,7:59 PM_ Dec 01,,10:30 PM_ Dec 01,~~,
~~2406~~,gofox,AA-1733-ORD-PHX,7:45 PM_ Dec 01,7:59 PM_ Dec 01,,10:30 PM_ Dec 01,~~,
~~2407~~,gofox,AA-1733-ORD-PHX,7:45 PM_ Dec 01,7:59 PM_ Dec 01,,10:30 PM_ Dec 01,~~,
~~2408~~,gofox,AA-1733-ORD-PHX,7:45 PM_ Dec 01,7:59 PM_ Dec 01,,10:30 PM_ Dec 01,~~,
~~2409~~,foxbusiness,AA-1733-ORD-PHX,7:45 PM_ Dec 01,7:59 PM_ Dec 01,,10:30 PM_ Dec 01,~~,
~~2410~~,foxbusiness,AA-1733-ORD-PHX,7:45 PM_ Dec 01,7:59 PM_ Dec 01,,10:30 PM_ Dec 01,~~,
~~2411~~,foxbusiness,AA-1733-ORD-PHX,7:45 PM_ Dec 01,7:59 PM_ Dec 01,,10:30 PM_ Dec 01,~~,
~~2412~~,foxbusiness,AA-1733-ORD-PHX,7:45 PM_ Dec 01,7:59 PM_ Dec 01,,10:30 PM_ Dec 01,~~,
~~2413~~,allegiantair,AA-1733-ORD-PHX,7:45 PM_ Dec 01,7:59 PM_ Dec 01,,10:30 PM_ Dec 01,~~,
~~2414~~,allegiantair,AA-1733-ORD-PHX,7:45 PM_ Dec 01,7:59 PM_ Dec 01,,10:30 PM_ Dec 01,~~,
~~2415~~,allegiantair,AA-1733-ORD-PHX,7:45 PM_ Dec 01,7:59 PM_ Dec 01,,10:30 PM_ Dec 01,~~,
~~2416~~,allegiantair,AA-1733-ORD-PHX,7:45 PM_ Dec 01,7:59 PM_ Dec 01,,10:30 PM_ Dec 01,~~,
~~2417~~,boston,AA-1733-ORD-PHX,7:45 PM_ Dec 01,7:59 PM_ Dec 01,,10:30 PM_ Dec 01,10:29 PM_ Dec 01&nbsp(Estimated),
~~2418~~,boston,AA-1733-ORD-PHX,7:45 PM_ Dec 01,7:59 PM_ Dec 01,,10:30 PM_ Dec 01,10:29 PM_ Dec 01&nbsp(Estimated),
~~2419~~,boston,AA-1733-ORD-PHX,7:45 PM_ Dec 01,7:59 PM_ Dec 01,,10:30 PM_ Dec 01,10:39 PM_ Dec 01&nbsp(Estimated),
~~2420~~,boston,AA-1733-ORD-PHX,7:45 PM_ Dec 01,7:59 PM_ Dec 01,,10:30 PM_ Dec 01,10:39 PM_ Dec 01&nbsp(Estimated),
~~2421~~,travelocity,AA-1733-ORD-PHX,Dec 01 - 7:45pm,Dec 01 - 7:45pm,K5/T3,Dec 01 - 10:30pm,Dec 01 - 10:33pm*,6/3
~~2422~~,travelocity,AA-1733-ORD-PHX,Dec 01 - 7:45pm,Dec 01 - 7:45pm,K5/T3,Dec 01 - 10:30pm,Dec 01 - 10:33pm*,6/3
~~2423~~,travelocity,AA-1733-ORD-PHX,Dec 01 - 7:45pm,Dec 01 - 7:45pm,K5/T3,Dec 01 - 10:30pm,Dec 01 - 10:30pm*,6/3
~~2424~~,travelocity,AA-1733-ORD-PHX,Dec 01 - 7:45pm,Dec 01 - 7:45pm,K5/T3,Dec 01 - 10:30pm,Dec 01 - 10:30pm*,6/3
~~2425~~,orbitz,AA-1733-ORD-PHX,7:45pDec 1,7:45pDec 1,K5,10:36pDec 1,~~,~6~
~~2426~~,orbitz,AA-1733-ORD-PHX,7:45pDec 1,7:45pDec 1,K5,10:36pDec 1,~~,~6~
~~2427~~,orbitz,AA-1733-ORD-PHX,7:45pDec 1,7:45pDec 1,K5,10:30pDec 1,~~,~6~
~~2428~~,orbitz,AA-1733-ORD-PHX,7:45pDec 1,7:45pDec 1,K5,10:30pDec 1,~~,~6~
~~2429~~,weather,AA-1733-ORD-PHX,2011-12-01 07:45 PM,~~,,2011-12-01 10:30 PM,~~,
~~2430~~,weather,AA-1733-ORD-PHX,2011-12-01 07:45 PM,~~,,2011-12-01 10:30 PM,~~,
~~2431~~,ord,AA-1733-ORD-PHX,2011-12-01 11/30 7:45 PM,~~,H15,2011-12-01 11/30 10:30 PM,~~,~6~
~~2432~~,ord,AA-1733-ORD-PHX,2011-12-01 11/30 7:45 PM,~~,H15,2011-12-01 11/30 10:30 PM,~~,~6~
~~2433~~,ifly,AA-1733-ORD-PHX,2011-12-01 7:45 PM,2011-12-01 7:58 PM,,2011-12-01 10:30 PM,2011-12-01 10:30 PM (Estimated),
~~2434~~,ifly,AA-1733-ORD-PHX,2011-12-01 7:45 PM,2011-12-01 7:58 PM,,2011-12-01 10:30 PM,2011-12-01 10:30 PM (Estimated),
~~2435~~,usatoday,AA-1733-ORD-PHX,2011-12-01 07:45 PM,~~,,2011-12-01 10:30 PM,~~,
~~2436~~,usatoday,AA-1733-ORD-PHX,2011-12-01 07:45 PM,~~,,2011-12-01 10:30 PM,~~,
~~2437~~,mytripandmore,AA-1733-ORD-PHX,7:45pDec 1,7:45pDec 1,K5,10:30pDec 1,~~,~6~
~~2438~~,mytripandmore,AA-1733-ORD-PHX,7:45pDec 1,7:45pDec 1,K5,10:30pDec 1,~~,~6~
~~2439~~,CO,CO-1090-BOS-IAH,Thu._ Dec.01_ 2011 9:45 a.m.,Thu._ Dec.01_ 2011 10:19 a.m.,,Thu._ Dec.01_ 2011 1:16 p.m.,Thu._ Dec.01_ 2011 1:19 p.m.,
~~2440~~,airtravelcenter,CO-1090-BOS-IAH,12/1/11 9:45 AM (-05:00),~~,,12/1/11 1:16 PM (-06:00),~~,
~~2441~~,myrateplan,CO-1090-BOS-IAH,12/1/11 9:45 AM (-05:00),~~,,12/1/11 1:16 PM (-06:00),~~,
~~2442~~,helloflight,CO-1090-BOS-IAH,12/1/11 9:45 AM (-05:00),~~,,12/1/11 1:16 PM (-06:00),~~,
~~2443~~,flytecomm,CO-1090-BOS-IAH,12/1/11 9:45 AM (-05:00),~~,,12/1/11 1:16 PM (-06:00),~~,
~~2444~~,flights,CO-1090-BOS-IAH,,2011-12-01 10:19 AM,A7,,2011-12-01 01:19 PM,~31~
~~2445~~,businesstravellogue,CO-1090-BOS-IAH,,2011-12-01 10:19 AM,A7,,2011-12-01 01:19 PM,~31~
~~2446~~,flylouisville,CO-1090-BOS-IAH,,2011-12-01 10:19 AM,A7,,2011-12-01 01:19 PM,~31~
~~2447~~,flightstats,CO-1090-BOS-IAH,2011-12-01 9:45 AM,2011-12-01 10:19 AM,,2011-12-01 1:16 PM,2011-12-01 1:19 PM,
~~2448~~,quicktrip,CO-1090-BOS-IAH,2011-12-01 9:45 AM,2011-12-01 10:19 AM,,2011-12-01 1:16 PM,2011-12-01 1:19 PM,
~~2449~~,flightview,CO-1090-BOS-IAH,,10:35 AMDec 01,,,1:19 PMDec 01,
~~2450~~,panynj,CO-1090-BOS-IAH,,10:35 AMDec 01,,,1:19 PMDec 01,
~~2451~~,gofox,CO-1090-BOS-IAH,,10:35 AMDec 01,,,1:19 PMDec 01,
~~2452~~,foxbusiness,CO-1090-BOS-IAH,,10:35 AMDec 01,,,1:19 PMDec 01,
~~2453~~,allegiantair,CO-1090-BOS-IAH,,10:35 AMDec 01,,,1:19 PMDec 01,
~~2454~~,boston,CO-1090-BOS-IAH,,10:35 AMDec 01,,,1:09 PMDec 01,
~~2455~~,orbitz,CO-1090-BOS-IAH,9:45aDec 1,10:19aDec 1,A7,1:16pDec 1,1:19pDec 1,~32~
~~2456~~,weather,CO-1090-BOS-IAH,2011-12-01 09:45 AM,~~,,2011-12-01 01:16 PM,~~,
~~2457~~,ifly,CO-1090-BOS-IAH,2011-12-01 9:45 AM,2011-12-01 10:19 AM,,2011-12-01 1:16 PM,2011-12-01 1:19 PM,
~~2458~~,mytripandmore,CO-1090-BOS-IAH,9:45aDec 1,10:19aDec 1,A7,1:16pDec 1,1:19pDec 1,~32~
~~2459~~,flightarrival,CO-1090-BOS-IAH,2011-12-01 09:45 AM,~~,,2011-12-01 01:16 PM,~~,
~~2460~~,ua,UA-938-DEN-ORD,Thu_ Dec 1 4:16 PM,Thu_ Dec 1 4:15 PM,B36,Thu_ Dec 1 7:35 PM,Thu_ Dec 1 7:36 PM,C19
~~2461~~,flightexplorer,UA-938-DEN-ORD,,12/1/2011 4:35PM MST,,,12/1/2011 7:23PM CST,
~~2462~~,airtravelcenter,UA-938-DEN-ORD,,12/1/11 4:37 PM (-07:00),,,12/1/11 7:23 PM (-06:00),
~~2463~~,myrateplan,UA-938-DEN-ORD,,12/1/11 4:37 PM (-07:00),,,12/1/11 7:23 PM (-06:00),
~~2464~~,helloflight,UA-938-DEN-ORD,,12/1/11 4:37 PM (-07:00),,,12/1/11 7:23 PM (-06:00),
~~2465~~,flytecomm,UA-938-DEN-ORD,,12/1/11 4:37 PM (-07:00),,,12/1/11 7:23 PM (-06:00),
~~2466~~,flights,UA-938-DEN-ORD,,2011-12-01 04:15 PM,B36,,2011-12-01 07:36 PM,C19
~~2467~~,businesstravellogue,UA-938-DEN-ORD,,2011-12-01 04:15 PM,B36,,2011-12-01 07:36 PM,C19
~~2468~~,flylouisville,UA-938-DEN-ORD,,2011-12-01 04:15 PM,B36,,2011-12-01 07:36 PM,C19
~~2469~~,flightstats,UA-938-DEN-ORD,2011-12-01 4:16 PM,2011-12-01 4:15 PM,,2011-12-01 7:35 PM,2011-12-01 7:36 PM,
~~2470~~,quicktrip,UA-938-DEN-ORD,2011-12-01 4:16 PM,2011-12-01 4:15 PM,,2011-12-01 7:35 PM,2011-12-01 7:36 PM,
~~2471~~,flightview,UA-938-DEN-ORD,,4:37 PMDec 01,,,7:36 PMDec 01,
~~2472~~,panynj,UA-938-DEN-ORD,,4:37 PMDec 01,,,7:36 PMDec 01,
~~2473~~,gofox,UA-938-DEN-ORD,,4:37 PMDec 01,,,7:36 PMDec 01,
~~2474~~,foxbusiness,UA-938-DEN-ORD,,4:37 PMDec 01,,,7:36 PMDec 01,
~~2475~~,allegiantair,UA-938-DEN-ORD,,4:37 PMDec 01,,,7:36 PMDec 01,
~~2476~~,boston,UA-938-DEN-ORD,,4:37 PMDec 01,,,7:26 PMDec 01,
~~2477~~,orbitz,UA-938-DEN-ORD,4:16pDec 1,4:15pDec 1,B36,7:35pDec 1,7:36pDec 1,C19
~~2478~~,weather,UA-938-DEN-ORD,2011-12-01 04:16 PM,~~,,2011-12-01 07:35 PM,~~,
~~2479~~,den,UA-938-DEN-ORD,2011-12-01 4:16 PM,~~,B36,,~~,
~~2480~~,ord,UA-938-DEN-ORD,2011-12-01 11/30 4:16 PM,~~,B36,2011-12-01 11/30 7:35 PM,~~,C23
~~2481~~,ifly,UA-938-DEN-ORD,2011-12-01 4:16 PM,2011-12-01 4:15 PM,,2011-12-01 7:35 PM,2011-12-01 7:36 PM,
~~2482~~,flightarrival,UA-938-DEN-ORD,,4:37 PMDec 01,,,7:26 PMDec 01,
~~2483~~,ua,UA-828-SFO-ORD,Thu_ Dec 1 11:08 PM,Thu_ Dec 1 11:08 PM            On Time,~75~,Fri_ Dec 2 5:11 AM,Fri_ Dec 2 5:11 AM,C9
~~2484~~,flightexplorer,UA-828-SFO-ORD,,11/30/2011 11:34PM PST,,,12/1/2011 5:24AM CST,
~~2485~~,airtravelcenter,UA-828-SFO-ORD,12/1/11 11:08 PM (-08:00),~~,,12/2/11 5:11 AM (-06:00),~~,
~~2486~~,myrateplan,UA-828-SFO-ORD,12/1/11 11:08 PM (-08:00),~~,,12/2/11 5:11 AM (-06:00),~~,
~~2487~~,helloflight,UA-828-SFO-ORD,12/1/11 11:08 PM (-08:00),~~,,12/2/11 5:11 AM (-06:00),~~,
~~2488~~,flytecomm,UA-828-SFO-ORD,12/1/11 11:08 PM (-08:00),~~,,12/2/11 5:11 AM (-06:00),~~,
~~2489~~,flightaware,UA-828-SFO-ORD,2011-12-01 11:08PM PST,2011-12-01 11:35PM PST,~75~,2011-12-01 05:08AM CST,2011-12-01 05:21AM CST,B14
~~2490~~,wunderground,UA-828-SFO-ORD,2011-12-01 11:08PM PST,2011-12-01 11:35PM PST,~75~,2011-12-01 05:08AM CST,2011-12-01 05:21AM CST,B14
~~2491~~,flights,UA-828-SFO-ORD,2011-12-01 11:08 PM,~~,,2011-12-01 05:11 AM,~~,
~~2492~~,businesstravellogue,UA-828-SFO-ORD,2011-12-01 11:08 PM,~~,,2011-12-01 05:11 AM,~~,
~~2493~~,flylouisville,UA-828-SFO-ORD,2011-12-01 11:08 PM,~~,,2011-12-01 05:11 AM,~~,
~~2494~~,flightstats,UA-828-SFO-ORD,2011-12-01 11:08 PM,~~,,2011-12-01 5:11 AM,~~,
~~2495~~,quicktrip,UA-828-SFO-ORD,2011-12-01 11:08 PM,~~,,2011-12-01 5:11 AM,~~,
~~2496~~,flightview,UA-828-SFO-ORD,11:08 PMDec 01,~~,,5:11 AMDec 02,~~,
~~2497~~,panynj,UA-828-SFO-ORD,11:08 PMDec 01,~~,,5:11 AMDec 02,~~,
~~2498~~,gofox,UA-828-SFO-ORD,11:08 PMDec 01,~~,,5:11 AMDec 02,~~,
~~2499~~,foxbusiness,UA-828-SFO-ORD,11:08 PMDec 01,~~,,5:11 AMDec 02,~~,
~~2500~~,allegiantair,UA-828-SFO-ORD,11:08 PMDec 01,~~,,5:11 AMDec 02,~~,
~~2501~~,boston,UA-828-SFO-ORD,11:08 PMDec 01,~~,,5:11 AMDec 02,~~,
~~2502~~,orbitz,UA-828-SFO-ORD,11:08pDec 1,~~,~75~,5:11aDec 2,~~,C9
~~2503~~,ord,UA-828-SFO-ORD,2011-12-01 11/30 11:08 PM,~~,~75~,2011-12-01 5:11 AM,~~,B14
~~2504~~,usatoday,UA-828-SFO-ORD,2011-12-01 11:08 PM,~~,,2011-12-01 5:11 AM,~~,
~~2505~~,mytripandmore,UA-828-SFO-ORD,11:08pDec 1,~~,~75~,5:11aDec 2,~~,C9
~~2506~~,flightarrival,UA-828-SFO-ORD,11:08 PMDec 01,~~,,5:11 AMDec 02,~~,
~~2507~~,ua,~~UA-37-EWR-MCO~~,Thu_ Dec 1 1:29 PM,Thu_ Dec 1 1:48 PM            Delayed,C126,Thu_ Dec 1 4:17 PM,Thu_ Dec 1 4:17 PM,~39~
~~2508~~,flightexplorer,~~UA-37-EWR-MCO~~,,12/1/2011 1:59PM EST,,,12/1/2011 4:05PM EST,
~~2509~~,airtravelcenter,~~UA-37-EWR-MCO~~,12/1/11 1:29 PM (-05:00),~~,,12/1/11 4:17 PM (-05:00),~~,
~~2510~~,myrateplan,~~UA-37-EWR-MCO~~,12/1/11 1:29 PM (-05:00),~~,,12/1/11 4:17 PM (-05:00),~~,
~~2511~~,helloflight,~~UA-37-EWR-MCO~~,12/1/11 1:29 PM (-05:00),~~,,12/1/11 4:17 PM (-05:00),~~,
~~2512~~,flytecomm,~~UA-37-EWR-MCO~~,12/1/11 1:29 PM (-05:00),~~,,12/1/11 4:17 PM (-05:00),~~,
~~2513~~,flightaware,~~UA-37-EWR-MCO~~,2011-12-01 01:29PM EST,2011-12-01 02:01PM EST,~126~,2011-12-01 03:55PM EST,2011-12-01 04:06PM EST,~39~
~~2514~~,wunderground,~~UA-37-EWR-MCO~~,2011-12-01 01:29PM EST,2011-12-01 02:01PM EST,~126~,2011-12-01 03:55PM EST,2011-12-01 04:06PM EST,~39~
~~2515~~,flights,~~UA-37-EWR-MCO~~,,2011-12-01 01:48 PM,~126~,,2011-12-01 04:17 PM,~39~
~~2516~~,businesstravellogue,~~UA-37-EWR-MCO~~,,2011-12-01 01:48 PM,~126~,,2011-12-01 04:17 PM,~39~
~~2517~~,flylouisville,~~UA-37-EWR-MCO~~,,2011-12-01 01:48 PM,~126~,,2011-12-01 04:17 PM,~39~
~~2518~~,flightstats,~~UA-37-EWR-MCO~~,2011-12-01 1:29 PM,2011-12-01 1:48 PM,,2011-12-01 4:17 PM,2011-12-01 4:17 PM,
~~2519~~,quicktrip,~~UA-37-EWR-MCO~~,2011-12-01 1:29 PM,2011-12-01 1:48 PM,,2011-12-01 4:17 PM,2011-12-01 4:17 PM,
~~2520~~,flightview,~~UA-37-EWR-MCO~~,,2:01 PMDec 01,,,4:17 PMDec 01,
~~2521~~,panynj,~~UA-37-EWR-MCO~~,,2:01 PMDec 01,,,4:17 PMDec 01,
~~2522~~,gofox,~~UA-37-EWR-MCO~~,,2:01 PMDec 01,,,4:17 PMDec 01,
~~2523~~,foxbusiness,~~UA-37-EWR-MCO~~,,2:01 PMDec 01,,,4:17 PMDec 01,
~~2524~~,allegiantair,~~UA-37-EWR-MCO~~,,2:01 PMDec 01,,,4:17 PMDec 01,
~~2525~~,boston,~~UA-37-EWR-MCO~~,,2:01 PMDec 01,,,4:06 PMDec 01,
~~2526~~,orbitz,~~UA-37-EWR-MCO~~,1:29pDec 1,1:48pDec 1,C126,4:17pDec 1,4:17pDec 1,~39~
~~2527~~,flightarrival,~~UA-37-EWR-MCO~~,2011-12-01 1:29 PM,2011-12-01 1:48 PM,,2011-12-01 4:17 PM,2011-12-01 4:17 PM,
~~2528~~,aa,AA-1886-BOS-MIA,12/01/2011 10:45 AM,12/01/2011 10:55 AM,B34,12/01/2011 02:20 PM,12/01/2011 01:40 PM,D45
~~2529~~,flightexplorer,AA-1886-BOS-MIA,,12/1/2011 10:55AM EST,,,12/1/2011 1:36PM EST,
~~2530~~,airtravelcenter,AA-1886-BOS-MIA,,12/1/11 10:54 AM (-05:00),,,12/1/11 1:36 PM (-05:00),
~~2531~~,myrateplan,AA-1886-BOS-MIA,,12/1/11 10:54 AM (-05:00),,,12/1/11 1:36 PM (-05:00),
~~2532~~,helloflight,AA-1886-BOS-MIA,,12/1/11 10:54 AM (-05:00),,,12/1/11 1:36 PM (-05:00),
~~2533~~,flytecomm,AA-1886-BOS-MIA,,12/1/11 10:54 AM (-05:00),,,12/1/11 1:36 PM (-05:00),
~~2534~~,flights,AA-1886-BOS-MIA,,2011-12-01 10:55 AM,B34,,2011-12-01 01:40 PM,D45
~~2535~~,businesstravellogue,AA-1886-BOS-MIA,,2011-12-01 10:55 AM,B34,,2011-12-01 01:40 PM,D45
~~2536~~,flylouisville,AA-1886-BOS-MIA,,2011-12-01 10:55 AM,B34,,2011-12-01 01:40 PM,D45
~~2537~~,flightview,AA-1886-BOS-MIA,,10:55 AMDec 01,,,1:40 PMDec 01,
~~2538~~,panynj,AA-1886-BOS-MIA,,10:55 AMDec 01,,,1:40 PMDec 01,
~~2539~~,gofox,AA-1886-BOS-MIA,,10:55 AMDec 01,,,1:40 PMDec 01,
~~2540~~,foxbusiness,AA-1886-BOS-MIA,,10:55 AMDec 01,,,1:40 PMDec 01,
~~2541~~,allegiantair,AA-1886-BOS-MIA,,10:55 AMDec 01,,,1:40 PMDec 01,
~~2542~~,boston,AA-1886-BOS-MIA,,10:55 AMDec 01,,,1:34 PMDec 01,
~~2543~~,travelocity,AA-1886-BOS-MIA,Dec 01 - 10:45am,Dec 01 - 10:42am,B34,Dec 01 - 2:20pm,Dec 01 - 1:40pm,D45
~~2544~~,orbitz,AA-1886-BOS-MIA,10:45aDec 1,10:42aDec 1,B34,2:20pDec 1,1:40pDec 1,D45
~~2545~~,weather,AA-1886-BOS-MIA,2011-12-01 10:45 AM,~~,,2011-12-01 02:20 PM,~~,
~~2546~~,usatoday,AA-1886-BOS-MIA,2011-12-01 10:45 AM,~~,,2011-12-01 02:20 PM,~~,
~~2547~~,CO,~~CO-52-IAH-LAX~~,Thu._ Dec.01_ 2011 7:35 a.m.,Thu._ Dec.01_ 2011 7:29 a.m.,,Thu._ Dec.01_ 2011 9:21 a.m.,Thu._ Dec.01_ 2011 9:14 a.m.,
~~2548~~,airtravelcenter,~~CO-52-IAH-LAX~~,12/1/11 7:35 AM (-06:00),~~,,12/1/11 9:21 AM (-08:00),~~,
~~2549~~,myrateplan,~~CO-52-IAH-LAX~~,12/1/11 7:35 AM (-06:00),~~,,12/1/11 9:21 AM (-08:00),~~,
~~2550~~,helloflight,~~CO-52-IAH-LAX~~,12/1/11 7:35 AM (-06:00),~~,,12/1/11 9:21 AM (-08:00),~~,
~~2551~~,flytecomm,~~CO-52-IAH-LAX~~,12/1/11 7:35 AM (-06:00),~~,,12/1/11 9:21 AM (-08:00),~~,
~~2552~~,flightaware,~~CO-52-IAH-LAX~~,2011-12-01 07:35AM CST,2011-12-01 07:56AM CST,,2011-12-01 09:11AM PST,2011-12-01 09:08AM PST,
~~2553~~,wunderground,~~CO-52-IAH-LAX~~,2011-12-01 07:35AM CST,2011-12-01 07:56AM CST,,2011-12-01 09:11AM PST,2011-12-01 09:08AM PST,
~~2554~~,flights,~~CO-52-IAH-LAX~~,,2011-12-01 07:29 AM,~17~,,2011-12-01 09:14 AM,
~~2555~~,businesstravellogue,~~CO-52-IAH-LAX~~,,2011-12-01 07:29 AM,~17~,,2011-12-01 09:14 AM,
~~2556~~,flylouisville,~~CO-52-IAH-LAX~~,,2011-12-01 07:29 AM,~17~,,2011-12-01 09:14 AM,
~~2557~~,flightstats,~~CO-52-IAH-LAX~~,2011-12-01 7:35 AM,2011-12-01 7:29 AM,,2011-12-01 9:21 AM,2011-12-01 9:14 AM,
~~2558~~,quicktrip,~~CO-52-IAH-LAX~~,2011-12-01 7:35 AM,2011-12-01 7:29 AM,,2011-12-01 9:21 AM,2011-12-01 9:14 AM,
~~2559~~,flightview,~~CO-52-IAH-LAX~~,,7:56 AMDec 01,,,9:09 AMDec 01,
~~2560~~,panynj,~~CO-52-IAH-LAX~~,,7:56 AMDec 01,,,9:09 AMDec 01,
~~2561~~,gofox,~~CO-52-IAH-LAX~~,,7:56 AMDec 01,,,9:09 AMDec 01,
~~2562~~,foxbusiness,~~CO-52-IAH-LAX~~,,7:56 AMDec 01,,,9:09 AMDec 01,
~~2563~~,allegiantair,~~CO-52-IAH-LAX~~,,7:56 AMDec 01,,,9:09 AMDec 01,
~~2564~~,boston,~~CO-52-IAH-LAX~~,,7:56 AMDec 01,,,9:09 AMDec 01,
~~2565~~,orbitz,~~CO-52-IAH-LAX~~,7:35aDec 1,~~,-,9:21aDec 2,~~,-
~~2566~~,flightarrival,~~CO-52-IAH-LAX~~,,7:56 AMDec 01,,,9:09 AMDec 01,
~~2567~~,ua,UA-2708-EWR-CLT,Fri_ Dec 2 2:55 PM,Fri_ Dec 2 2:55 PM,A37,Fri_ Dec 2 4:53 PM,Fri_ Dec 2 4:32 PM,C15
~~2568~~,airtravelcenter,UA-2708-EWR-CLT,,12/2/11 3:03 PM (-05:00),,,12/2/11 4:27 PM (-05:00),
~~2569~~,myrateplan,UA-2708-EWR-CLT,,12/2/11 3:03 PM (-05:00),,,12/2/11 4:27 PM (-05:00),
~~2570~~,helloflight,UA-2708-EWR-CLT,,12/2/11 3:03 PM (-05:00),,,12/2/11 4:27 PM (-05:00),
~~2571~~,flytecomm,UA-2708-EWR-CLT,,12/2/11 3:03 PM (-05:00),,,12/2/11 4:27 PM (-05:00),
~~2572~~,flights,UA-2708-EWR-CLT,,2011-12-02 02:51 PM,~37~,,2011-12-02 04:32 PM,C15
~~2573~~,businesstravellogue,UA-2708-EWR-CLT,,2011-12-02 02:51 PM,~37~,,2011-12-02 04:32 PM,C15
~~2574~~,flylouisville,UA-2708-EWR-CLT,,2011-12-02 02:51 PM,~37~,,2011-12-02 04:32 PM,C15
~~2575~~,flightstats,UA-2708-EWR-CLT,2011-12-02 2:55 PM,2011-12-02 2:51 PM,,2011-12-02 4:53 PM,2011-12-02 4:32 PM,
~~2576~~,quicktrip,UA-2708-EWR-CLT,2011-12-02 2:55 PM,2011-12-02 2:51 PM,,2011-12-02 4:53 PM,2011-12-02 4:32 PM,
~~2577~~,flightview,UA-2708-EWR-CLT,,3:03 PMDec 02,,,4:28 PMDec 02,
~~2578~~,panynj,UA-2708-EWR-CLT,,3:03 PMDec 02,,,4:28 PMDec 02,
~~2579~~,gofox,UA-2708-EWR-CLT,,3:03 PMDec 02,,,4:28 PMDec 02,
~~2580~~,foxbusiness,UA-2708-EWR-CLT,,3:03 PMDec 02,,,4:28 PMDec 02,
~~2581~~,allegiantair,UA-2708-EWR-CLT,,3:03 PMDec 02,,,4:28 PMDec 02,
~~2582~~,boston,UA-2708-EWR-CLT,,3:03 PMDec 02,,,4:28 PMDec 02,
~~2583~~,travelocity,UA-2708-EWR-CLT,Dec 02 - 2:55pm,Dec 02 - Contact Airline,Not provided by airline,Dec 02 - 4:53pm,Dec 02 - Contact Airline,Not provided by airline
~~2584~~,orbitz,UA-2708-EWR-CLT,2:55pDec 2,2:51pDec 2,-,4:53pDec 2,4:32pDec 2,-
~~2585~~,weather,UA-2708-EWR-CLT,2011-12-02 02:55 PM,~~,,2011-12-02 04:53 PM,~~,
~~2586~~,mytripandmore,UA-2708-EWR-CLT,2:55pDec 2,2:51pDec 2,-,4:53pDec 2,4:32pDec 2,-
~~2587~~,flightarrival,UA-2708-EWR-CLT,2011-12-02 2:55 PM,2011-12-02 2:51 PM,,2011-12-02 4:53 PM,2011-12-02 4:32 PM,
~~2588~~,ua,UA-3925-IAD-ORF,Fri_ Dec 2 8:41 AM,Fri_ Dec 2 8:36 AM,A2A,Fri_ Dec 2 9:54 AM,Fri_ Dec 2 9:42 AM,--
~~2589~~,flightexplorer,UA-3925-IAD-ORF,,12/2/2011 9:00AM EST,,,12/2/2011 9:48AM EST,
~~2590~~,airtravelcenter,UA-3925-IAD-ORF,,12/2/11 9:00 AM (-05:00),,,12/2/11 9:32 AM (-05:00),
~~2591~~,myrateplan,UA-3925-IAD-ORF,,12/2/11 9:00 AM (-05:00),,,12/2/11 9:32 AM (-05:00),
~~2592~~,helloflight,UA-3925-IAD-ORF,,12/2/11 9:00 AM (-05:00),,,12/2/11 9:32 AM (-05:00),
~~2593~~,flytecomm,UA-3925-IAD-ORF,,12/2/11 9:00 AM (-05:00),,,12/2/11 9:32 AM (-05:00),
~~2594~~,flightaware,UA-3925-IAD-ORF,2011-12-02 08:41AM EST,2011-12-02 08:59AM EST,A2A,2011-12-02 09:20AM EST,2011-12-02 09:38AM EST,
~~2595~~,wunderground,UA-3925-IAD-ORF,2011-12-02 08:41AM EST,2011-12-02 08:59AM EST,A2A,2011-12-02 09:20AM EST,2011-12-02 09:38AM EST,
